Gasellår,Orgnr,Namn,Koncern,Koordinater,Bolaget har säte på annan ort,Har koncernmoder,Adress,Postnr.,Ort,Telefon,Län,"Län, klartext",Kommun,"Kommun, klartext",SNIkod,"SNI, klartext",Bransch enl. DI,Omsättning år 1,Omsättning år 2,Omsättning år 3,Omsättning år 4,Förändring omsättn.,Förlängd/förkortad periodlängd år 1,Förlängd/förkortad periodlängd år 2,Förlängd/förkortad periodlängd år 3,Förlängd/förkortad periodlängd år 4,Rörelseresultat år 1,Rörelseresultat år 2,Rörelseresultat år 3,Rörelseresultat år 4,Antal anställda år 1,Antal anställda år 2,Antal anställda år 3,Antal anställda år 4,Koncernmoder orgnr,Koncernmoder namn,VD/ansvarig födelseår,VD/ansvarig namn,"VD/ansvarig, roll","VD/ansvarig, kön",Senaste bokslut,Revisorskommentar år 1,Revisorskommentar år 2,Revisorskommentar år 3,Revisorskommentar år 4,Riskklass,Registreringsstatus,Verksamhetsstatus,Statusdatum Bolagsverket,"Status, Bolagsverket",Finns på bolagslistan,Finns på koncernlistan,Gasell förra året,Antal storleksförändringar efter senaste bokslut,Datum för senaste storleksförändring,Typ av storleksförändring,Förändrad storleksklasning,"Extra vinstutdelning, belopp",Valuta,Stämmans beslutsdatum
2021,5569503203,Utvecklarbolaget Stockholm AB ,Nej,,,Nej,TORSGATAN 8 A ,11123 ,STOCKHOLM ,070-9161967 ,01,Stockholms län        ,0180,Stockholm      ,62020,Datakonsultverksamhet                                                                                          ,IT-företag                  ,28 771 000,23 618 000,18 349 000,12 047 000,139%,Nej,Nej,Nej,Nej,3 485 000,3 241 000,2 746 000,2 823 000,14,12,11,10,  ,  ,1979,"Fratini, Marcus Emanuel Yngwe ",1,Man   ,8/31/2020,T ,T ,T ,T ,AA ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,Ja ,,,,,,,
2021,5569226417,Interspol Systems AB ,Nej,,,Ja ,FYRVERKARBACKEN 26 ,11260 ,STOCKHOLM ,020-300000 ,01,Stockholms län        ,0180,Stockholm      ,42210,"Allmännyttiga anläggningsarbeten för värme, vatten och avlopp                                              ",Bygg- och entreprenadföretag,26 297 000,17 763 000,14 821 000,11 039 000,138%,Nej,Nej,Nej,Nej,3 650 000,−29 000,1 257 000,334 000,17,15,11,8,5590108519,Magnus & Patrik Invest AB ,1978,"Wessman, Göran Sebastian ",0,Man   ,6/30/2020,T ,T ,T ,T ,AA ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,   ,,,,,,,
2021,5566412507,Upsales Nordic AB ,Nej,,,Ja ,SVEAVÄGEN 21  4TR ,11134 ,STOCKHOLM ,072-5558983 ,01,Stockholms län        ,0180,Stockholm      ,62010,Dataprogrammering                                                                                              ,IT-företag                  ,75 212 000,67 688 000,57 021 000,31 677 000,137%,Nej,Nej,Nej,Nej,12 919 000,9 808 000,5 591 000,−15 190 000,44,37,40,39,5567507669,Zenvestment Holding AB ,1980,"Wikberg, Daniel Lars ",1,Man   ,12/31/2020,T ,T ,T ,T ,AAA ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,   ,,,,,,,
2021,5567238075,Rosersbergs Maskin AB ,Nej,,,Nej,TURBINGATAN 1  BV ,19560 ,ARLANDASTAD ,08-12005040 ,01,Stockholms län        ,0180,Stockholm      ,77320,Uthyrning och leasing av bygg- och anläggningsmaskiner                                                        ,Övriga                      ,90 378 000,54 008 000,42 520 000,38 275 000,136%,Nej,Nej,Nej,Nej,4 703 000,1 232 000,1 272 000,1 475 000,11,10,10,9,  ,  ,1972,"Norlin, Jan Sune Dennis ",0,Man   ,4/30/2020,T ,T ,T ,T ,AA ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,Ja ,,,,,,,
2021,5568992258,Techin Business Solutions AB ,Nej,,,Ja ,RÅDMANSGATAN 76 ,11360 ,STOCKHOLM ,073-5583973 ,01,Stockholms län        ,0184,Solna          ,62030,Datordrifttjänster                                                                                            ,IT-företag                  ,16 798 000,14 069 000,11 455 000,7 122 000,136%,Nej,Nej,Nej,Nej,4 075 000,4 806 000,4 377 000,2 905 000,13,10,9,6,5591759864,TECHIN BUSINESS SOLUTIONS HOLDING AB ,1963,"Skragge, Sten Patrik ",1,Man   ,12/31/2020,T ,T ,T ,T ,AA ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,Ja ,,,,,,,
2021,5561584706,TECHTRADE INTERNATIONAL AKTIEBOLAG ,Nej,,,Nej,TORSHAMNSGATAN 35  2TR ,16440 ,KISTA ,08-7540990 ,01,Stockholms län        ,0180,Stockholm      ,62020,Datakonsultverksamhet                                                                                          ,IT-företag                  ,32 912 000,26 311 000,19 056 000,13 967 000,136%,Nej,Nej,Nej,Nej,1 296 000,428 000,1 139 000,−139 000,20,18,14,11,  ,  ,1958,"Lindblad, Jan Ingvar ",1,Man   ,12/31/2020,T ,T ,T ,T ,A ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,Ja ,,,,,,,
2021,5568428808,Exxentric AB ,Nej,,,Nej,KARLSBODAVÄGEN 39 ,16867 ,BROMMA ,070-3464284 ,01,Stockholms län        ,0180,Stockholm      ,32300,Tillverkning av sportartiklar                                                                                  ,Tillverkningsindustri        ,35 375 000,26 732 000,20 087 000,15 064 000,135%,Nej,Nej,Nej,Nej,2 063 000,2 672 000,1 519 000,2 002 000,26,17,13,10,  ,  ,1977,"Correa, Fredrik Johannes ",1,Man   ,4/30/2021,T ,S ,T ,T ,AA ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,Ja ,,,,,,,
2021,5561626655,Mörby Städ Aktiebolag ,Nej,,,Nej,BOPLATSVÄGEN 4 ,17441 ,SUNDBYBERG ,070-7358347 ,01,Stockholms län        ,0180,Stockholm      ,81210,Lokalvård                                                                                                     ,Företagstjänster           ,11 479 000,9 643 000,6 122 000,4 897 000,134%,Nej,Nej,Nej,Nej,1 472 000,456 000,446 000,492 000,19,19,18,17,  ,  ,1995,"Aidonis, Sofia Christina ",0,Kvinna,12/31/2020,T ,T ,T ,T ,AAA ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,   ,,,,,,,
2021,5567243281,Utech AB ,Nej,,,Nej,ENGELBREKTS VÄG 17 ,19162 ,SOLLENTUNA ,08-7002250 ,01,Stockholms län        ,0180,Stockholm      ,43120,Mark- och grundarbeten                                                                                         ,Bygg- och entreprenadföretag,55 272 000,45 461 000,24 159 000,23 671 000,134%,Nej,Nej,Nej,Nej,4 000 000,3 051 000,−815 000,53 000,21,21,22,24,5567243281,Utech AB ,1977,"Romberg, Marcus Göran ",0,Man   ,4/30/2020,T ,T ,T ,T ,AAA ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,   ,,,,,,,
2021,5590116025,Remo Martinson Bygg & Fasad AB ,Nej,,,Nej,BOX 20063 ,16102 ,BROMMA ,073-8794745 ,01,Stockholms län        ,0180,Stockholm      ,43320,Byggnadssnickeriarbeten                                                                                        ,Bygg- och entreprenadföretag,15 138 000,13 570 000,7 189 000,6 494 000,133%,Nej,Nej,Nej,Nej,1 969 000,2 171 000,1 078 000,899 000,18,10,8,7,  ,  ,1979,"Martinson, Remo ",0,Man   ,3/31/2021,T ,T ,T ,S ,AA ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,   ,,,,,,,
2021,5569938326,LTP SÄKERHETSTEKNIK AB ,Nej,,,Ja ,ELEKTRAVÄGEN 31 ,12630 ,HÄGERSTEN ,08-12019180 ,01,Stockholms län        ,0180,Stockholm      ,43210,Elinstallationer                                                                                               ,Bygg- och entreprenadföretag,71 285 000,56 752 000,48 452 000,30 712 000,132%,Nej,Nej,Nej,Nej,6 293 000,2 650 000,1 361 000,433 000,29,29,25,17,5590949805,BLOMBERG OCH HOLMSTEN AB ,1983,"Holmgren Holmsten, David Erik Tobias ",1,Man   ,12/31/2020,T ,T ,T ,T ,AAA ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,Ja ,,,,,,,
2021,5569927360,Docklin Digital AB ,Nej,,,Nej,SKEPPSBRON 38 ,11130 ,STOCKHOLM ,  ,01,Stockholms län        ,0180,Stockholm      ,70220,Konsultverksamhet avseende företags organisation                                                              ,Konsultföretag              ,17 925 000,13 868 000,9 020 000,7 731 000,132%,Nej,Nej,Nej,Nej,3 559 000,3 645 000,1 411 000,2 574 000,17,12,8,6,  ,  ,1984,"Östberg, Erik Gustav ",1,Man   ,12/31/2020,T ,T ,T ,T ,AA ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,Ja ,,,,,,,
2021,5568198401,STAR STABLE ENTERTAINMENT AB ,Nej,,,Nej,VASAGATAN 16  9TR ,11120 ,STOCKHOLM ,08-50543950 ,01,Stockholms län        ,0180,Stockholm      ,58210,Utgivning av dataspel                                                                                          ,"Medier, kultur och nöje     ",373 166 000,248 205 000,207 661 000,161 143 000,132%,Nej,Nej,Nej,Nej,68 066 000,19 584 000,27 902 000,−167 000,143,118,100,85,  ,  ,1974,"Sjöberg, Johan Olof Gustav ",1,Man   ,12/31/2020,T ,T ,T ,T ,AAA ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,   ,,,,,,,
2021,5564178365,Atrax Energi och Miljö Aktiebolag ,Nej,,,Ja ,KUNGSHOLMSTORG 16 ,11221 ,STOCKHOLM ,070-7162821 ,01,Stockholms län        ,0180,Stockholm      ,71124,"Teknisk konsultverksamhet inom energi-, miljö- och VVS-teknik                                                 ",Konsultföretag              ,20 903 000,17 647 000,12 273 000,9 095 000,130%,Nej,Nej,Nej,Nej,2 447 000,2 860 000,1 197 000,971 000,16,14,11,9,5566920244,GTRAX AB ,1976,"Osanius, Mårten Erik Georg ",1,Man   ,12/31/2020,T ,T ,T ,T ,AA ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,   ,,,,,,,
2021,5566249354,Exacta Logistics AB ,Nej,,,Ja ,LUNDÅSVÄGEN 10 ,76330 ,HALLSTAVIK ,0175-26600 ,01,Stockholms län        ,0188,Norrtälje     ,82920,Förpackningsverksamhet                                                                                        ,Övriga                      ,54 071 000,28 188 000,24 321 000,23 694 000,128%,Nej,Nej,Nej,Nej,−784 000,53 000,787 000,362 000,27,21,21,20,5561763045,ALDERWAY AB ,1988,"Lindell, Karl Lukas ",1,Man   ,12/31/2020,TK ,T ,T ,T ,A ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,   ,,,,,,,
2021,5590602651,SB Creative AB ,Nej,,,Nej,SMEDSBACKSGATAN 32 ,11539 ,STOCKHOLM ,073-8404088 ,01,Stockholms län        ,0180,Stockholm      ,10710,Tillverkning av mjukt matbröd och färska bakverk                                                             ,Livsmedelsindustri           ,13 915 000,10 730 000,8 337 000,6 120 000,127%,Nej,Nej,Nej,Nej,242 000,2 210 000,1 607 000,1 542 000,10,8,9,4,  ,  ,1984,"Berg, Per Stefan ",0,Man   ,12/31/2020,T ,T ,T ,S ,A ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,   ,,,,,,,
2021,5569393456,Kristallrent AB ,Nej,,,Nej,GAMLA STOCKHOLMSVÄGEN 243 A ,14132 ,HUDDINGE ,073-4249719 ,01,Stockholms län        ,0127,Botkyrka       ,81210,Lokalvård                                                                                                     ,Företagstjänster           ,10 461 000,7 882 000,5 851 000,4 625 000,126%,Nej,Nej,Nej,Nej,683 000,195 000,78 000,309 000,23,18,14,10,  ,  ,1984,"Jecinac, Jovanka ",0,Kvinna,5/31/2020,T ,T ,T ,S ,AA ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,   ,,,,,,,
2021,5568884778,REAL ADVOKATBYRÅ AKTIEBOLAG ,Nej,,,Ja ,BOX 7306 ,10390 ,STOCKHOLM ,072-5886748 ,01,Stockholms län        ,0180,Stockholm      ,69101,Advokatbyråverksamhet                                                                                         ,Konsultföretag              ,50 478 000,41 656 000,23 558 000,22 348 000,126%,Nej,Nej,Nej,Nej,23 944 000,23 342 000,5 196 000,4 999 000,17,14,11,11,5592256811,Real Advokatbyrå Holding 1 AB ,1982,"Laag, Frans Olof Mikael ",0,Man   ,12/31/2020,T ,T ,T ,T ,AAA ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,   ,,,,,,,
2021,5569113789,Beet AB ,Nej,,,Ja ,VÄSTRA TRÄDGÅRDSGATAN 9 ,11153 ,STOCKHOLM ,08-40926000 ,01,Stockholms län        ,0180,Stockholm      ,70220,Konsultverksamhet avseende företags organisation                                                              ,Konsultföretag              ,103 313 000,82 439 000,69 450 000,46 045 000,124%,Nej,Nej,Nej,Nej,8 806 000,4 096 000,4 494 000,4 471 000,23,22,18,15,5590412481,ROOT FARM AB ,1979,"Sasan, Saeid ",0,Man   ,12/31/2020,T ,T ,T ,TK ,AAA ,Inregistrerat,Aktivt                                                  ,          ,  ,1,  ,Ja ,,,,,,,
