Gasellår;Orgnr;Namn;Koncern;Koordinater;Bolaget har säte på annan ort;Har koncernmoder;Adress;Postnr.;Ort;Telefon;Län;Län, klartext;Kommun;Kommun, klartext;SNIkod;SNI, klartext;Bransch enl. DI;Omsättning år 1;Omsättning år 2;Omsättning år 3;Omsättning år 4;Förändring omsättn.;Förlängd/förkortad periodlängd år 1;Förlängd/förkortad periodlängd år 2;Förlängd/förkortad periodlängd år 3;Förlängd/förkortad periodlängd år 4;Rörelseresultat år 1;Rörelseresultat år 2;Rörelseresultat år 3;Rörelseresultat år 4;Antal anställda år 1;Antal anställda år 2;Antal anställda år 3;Antal anställda år 4;Koncernmoder orgnr;Koncernmoder namn;VD/ansvarig födelseår;VD/ansvarig namn;VD/ansvarig, roll;VD/ansvarig, kön;Senaste bokslut;Revisorskommentar år 1;Revisorskommentar år 2;Revisorskommentar år 3;Revisorskommentar år 4;Riskklass;Registreringsstatus;Verksamhetsstatus;Statusdatum Bolagsverket;Status, Bolagsverket;Finns på bolagslistan;Finns på koncernlistan;Gasell förra året;Antal storleksförändringar efter senaste bokslut;Datum för senaste storleksförändring;Typ av storleksförändring;Förändrad storleksklasning;Extra vinstutdelning, belopp;Valuta;Stämmans beslutsdatum
2021;5569186538;Östgöta Elitstäd AB ;Nej;58.616046459904574, 16.14980249307263;;Ja ;BOX 4058;60004;NORRKÖPING ;073-6166836;5;Östergötlands län   ;581;Norrköping    ;81210;Lokalvård                                                                                                     ;Företagstjänster           ;80 668 000;64 397 000;57 399 000;26 923 000;200 %;Nej;Nej;Nej;Nej;9 717 000;7 978 000;10 486 000;2 378 000;130;99;76;65;5591386668;ELITGRUPPEN FÖRVALTNING AB ;1962;Håkansson, Johan Thommy Mikael ;1;Man   ;3/31/2020;T ;T ;T ;T ;AA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;Ja ;;;;;;;
2021;5590754965;NISTRA AB ;Nej;58.58850061487925, 16.180852698621997;;Nej;KÄLLVINDSGATAN 1;60240;NORRKÖPING ;011-103230;5;Östergötlands län   ;581;Norrköping    ;69201;Redovisning och bokföring                                                                                     ;Konsultföretag              ;10 036 000;8 504 000;6 200 000;3 367 200;198 %;Nej;Nej;Nej;Ja ;1 558 000;1 247 000;862 000;442 000;12;10;8;5;  ;  ;1972;Ljungberg, Annika Gunilla Maria ;1;Kvinna;12/31/2020;T ;S ;S ;S ;AA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;   ;;;;;;;
2021;5569520553;Zoezi AB ;Nej;58.393611251064854, 15.565812823751594;;Nej;TEKNIKRINGEN 1 C 1 TR;58330;LINKÖPING ;013-101840;5;Östergötlands län   ;580;Linköping     ;63110;Databehandling, hosting o.d.                                                                                   ;IT-företag                  ;11 302 000;9 539 000;7 165 000;3 879 000;191 %;Nej;Nej;Nej;Nej;1 929 000;1 373 000;934 000;47 000;12;10;8;6;  ;  ;1979;Öberg, Lars Tomas Erik ;1;Man   ;12/31/2020;T ;T ;T ;T ;AA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;   ;;;;;;;
2021;5569250805;Smart Cash Sverige AB ;Nej;58.61012799866301, 16.17316115629411;;Ja ;KISELGATAN 19;60223;NORRKÖPING ;011-4709000;5;Östergötlands län   ;581;Norrköping    ;46660;Partihandel med andra kontorsmaskiner och kontorsutrustning                                                    ;Handelsföretag              ;16 453 000;11 876 000;6 541 000;5 765 000;185 %;Nej;Nej;Nej;Nej;3 201 000;2 088 000;730 000;352 000;11;9;6;5;5591793335;Massi Invest AB ;1991;Massi, Joni ;0;Man   ;3/31/2020;TK ;T ;T ;T ;AA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;   ;;;;;;;
2021;5566843347;OPTIPLAN AB ;Nej;58.58917195378227, 16.185530269786295;;Nej;SKOLGATAN 1 A;60225;NORRKÖPING ;011-166853;5;Östergötlands län   ;581;Norrköping    ;70220;Konsultverksamhet avseende företags organisation                                                              ;Konsultföretag              ;19 498 000;13 723 000;9 910 000;6 989 000;179 %;Nej;Nej;Nej;Nej;4 240 000;1 898 000;557 000;559 000;12;11;9;6;5566843347;OPTIPLAN AB ;1978;Waltersson, Maud Elisabeth K M ;1;Kvinna;8/31/2020;T ;T ;T ;T ;AAA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;Ja ;;;;;;;
2021;5568683360;Vernum Maskin i Norrköping AB ;Nej;58.580333005930676, 16.232983842800333;;Ja ;SVÄRMAREGATAN 2;60361;NORRKÖPING ;011-130020;5;Östergötlands län   ;582;Söderköping  ;77320;Uthyrning och leasing av bygg- och anläggningsmaskiner                                                        ;Övriga                      ;29 202 000;18 289 000;17 465 000;10 727 000;172 %;Nej;Nej;Nej;Nej;4 817 000;1 607 000;1 879 000;749 000;10;8;5;4;5569296907;EKÄNGENS FASTIGHETER I SÖDERKÖPING AB ;1975;Widholm, Per Ragnar ;1;Man   ;6/30/2020;T ;T ;T ;T ;AA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;   ;;;;;;;
2021;5565703435;Skogslotten AB ;Nej;58.64583837913193, 16.085106386980947;;Nej;SKOGSLOTTEN 1;60599;NORRKÖPING ;011-339024;5;Östergötlands län   ;581;Norrköping    ;85510;Sport- och fritidsutbildning                                                                                   ;Utbildning                   ;25 510 000;23 176 000;12 218 000;9 388 500;171,72 %;Nej;Nej;Nej;Ja ;2 172 000;2 912 000;65 000;51 000;14;13;11;11;5565703435;Skogslotten AB ;1963;Jonsson, Bo Sven Stefan ;1;Man   ;12/31/2020;T ;T ;T ;T ;AAA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;   ;;;;;;;
2021;5569356735;Xamera AB ;Nej;58.41980577426858, 15.617930511567291;;Ja ;GÖRAN DYKS GATA 3 B;58224;LINKÖPING ;013-3410463;5;Östergötlands län   ;580;Linköping     ;78100;Arbetsförmedling och rekrytering                                                                              ;Företagstjänster           ;40 539 000;27 256 000;19 783 000;15 256 000;166 %;Nej;Nej;Nej;Nej;5 570 000;1 486 000;1 908 000;1 930 000;69;56;42;27;5590679501;MORBROR STEWART AB ;1985;Svensson, Jacob Emanuel ;1;Man   ;6/30/2020;T ;T ;T ;T ;AA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;Ja ;;;;;;;
2021;5564674876;Hjulsbro Elservice Aktiebolag ;Nej;58.37486887420036, 15.709132256286914;;Ja ;BOX 6093;58006;LINKÖPING ;013-156000;5;Östergötlands län   ;580;Linköping     ;43210;Elinstallationer                                                                                               ;Bygg- och entreprenadföretag;27 609 000;21 795 000;15 166 000;10 798 000;156 %;Nej;Nej;Nej;Nej;3 914 000;2 764 000;1 424 000;1 186 000;15;13;10;7;5567491278;LEVIN TRADEMARK AB ;1986;Levin, Erik Christoffer ;0;Man   ;12/31/2020;T ;T ;T ;T ;AA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;Ja ;;;;;;;
2021;5590710710;Xeamit AB ;Nej;58.41189011853665, 15.623851613959467;;Nej;ÅGATAN 31  4TR;58222;LINKÖPING ;070-3043452;5;Östergötlands län   ;580;Linköping     ;62020;Datakonsultverksamhet                                                                                          ;IT-företag                  ;22 693 000;17 697 000;13 088 000;9 181 846;147 %;Nej;Nej;Nej;Ja ;6 560 000;3 626 000;3 154 000;3 221 000;11;8;7;6;  ;  ;1953;Linder, Per Åke ;0;Okänt;9/30/2020;T ;T ;S ;S ;AA ;Inregistrerat;Aktivt                                                  ;          ;  ;1;  ;   ;;;;;;;
